arf5	ENST00000000233
RNY3	ENST00000364407
RN5S5	ENST00000364415
RN5S17	ENST00000364415
RN5S16	ENST00000364415
RN5S1	ENST00000364415
RNU1-2	ENST00000364421
RNU6-1	ENST00000364422
RNY4P7	ENST00000364427
SNORD115-8	ENST00000364430
SNORD115-7	ENST00000364430
SNORD115-40	ENST00000364430
SNORD115-38	ENST00000364430
SNORD115-36	ENST00000364430
SNORD115-25	ENST00000364430
SNORD115-11	ENST00000364430
RN5S4	ENST00000364431
Snora65	ENST00000364432
RNY4P7	ENST00000364439
RN5S5	ENST00000364442
RN5S1	ENST00000364442
RNY5P10	ENST00000364444
SNORD114-9	ENST00000364448
SNORD114-5	ENST00000364448
SNORD114-24	ENST00000364448
RN5S7	ENST00000364451
RN5S17	ENST00000364451
RN5S14	ENST00000364451
RN5S4	ENST00000364455
RN5S3	ENST00000364455
RN5S12	ENST00000364455
SNORD115-6	ENST00000364456
SNORD115-44	ENST00000364456
SNORD115-41	ENST00000364456
SNORD115-40	ENST00000364456
SNORD115-3	ENST00000364456
SNORD115-23	ENST00000364456
SNORD115-2	ENST00000364456
SNORD115-17	ENST00000364456
SNORD115-13	ENST00000364456
PAR4	ENST00000364456
HBII-52-28	ENST00000364456
HBII-52-27	ENST00000364456
SNORD115-43	ENST00000364461
SNORD115-32	ENST00000364461
SNORD115-30	ENST00000364461
HBII-52-46	ENST00000364461
RNY3	ENST00000364470
LOC100271832	ENST00000364470
RNU4-1B	ENST00000364472
SNORD3D	ENST00000364476
RN5S3	ENST00000364477
RN5S13	ENST00000364477
SNORA73A	ENST00000364478
RNY4P19	ENST00000364481
LOC100271832	ENST00000364481
LOC100271832	ENST00000364484
RN5S7	ENST00000364485
RN5S16	ENST00000364485
RN5S13	ENST00000364485
RN5S10	ENST00000364485
RN5S9	ENST00000364486
RN5S14	ENST00000364486
RN5S12	ENST00000364486
RN5S11	ENST00000364486
RN5S8	ENST00000364491
RN5S5	ENST00000364491
LOC100271832	ENST00000364493
RNY4	ENST00000364495
LOC100132111	ENST00000364495
RN5S9	ENST00000364499
RN5S13	ENST00000364499
LOC100271832	ENST00000364500
RNY4P7	ENST00000364501
RNY4	ENST00000364501
RNY1	ENST00000364501
SNORA70	ENST00000364506
LOC100271832	ENST00000364507
RNY3	ENST00000364508
LOC100132111	ENST00000364508
RNU6-1	ENST00000364520
RN5S9	ENST00000364524
RN5S10	ENST00000364524
RNY4P19	ENST00000364535
RNY4	ENST00000364535
RNY4P19	ENST00000364542
RNY1	ENST00000364542
RN5S14	ENST00000364543
RN5S12	ENST00000364543
RN5S4	ENST00000364545
SNORA71B	ENST00000364546
RN5S8	ENST00000364550
RN5S13	ENST00000364550
RNY4P7	ENST00000364551
RNY3	ENST00000364551
RNY1	ENST00000364556
RN5S4	ENST00000364559
RN5S15	ENST00000364559
RN5S5	ENST00000364570
RN5S2	ENST00000364570
RN5S16	ENST00000364570
RN5S11	ENST00000364570
RNU6-2	ENST00000364571
RN5S2	ENST00000364577
RNU4-2	ENST00000364588
RNU4-1B	ENST00000364588
RNU4-1	ENST00000364588
RNY3	ENST00000364596
RNY4	ENST00000364600
RN5S7	ENST00000364606
RN5S14	ENST00000364606
RN5S12	ENST00000364606
RN5S1	ENST00000364606
SNORD115-8	ENST00000364612
SNORD115-31	ENST00000364612
SNORD115-23	ENST00000364612
SNORD115-21	ENST00000364612
SNORD115-12	ENST00000364612
HBII-52-27	ENST00000364612
RNY4P7	ENST00000364613
RNY4P19	ENST00000364613
RNY4	ENST00000364613
RN5S9	ENST00000364622
RN5S6	ENST00000364622
RN5S4	ENST00000364622
RNU1-4	ENST00000364623
RNY4P19	ENST00000364628
LOC100132111	ENST00000364628
SNORD114-7	ENST00000364630
SNORD114-29	ENST00000364630
SNORD114-27	ENST00000364630
SNORD114-26	ENST00000364630
SNORD114-22	ENST00000364630
SNORD114-18	ENST00000364630
SNORD114-1	ENST00000364630
RNY4P7	ENST00000364631
RNY4	ENST00000364639
RNY5P10	ENST00000364641
RNY4P7	ENST00000364641
RNY1	ENST00000364641
RN5S16	ENST00000364645
RNU6-1	ENST00000364647
RN5S8	ENST00000364648
RN5S6	ENST00000364648
RN5S4	ENST00000364648
RN5S3	ENST00000364648
RN5S11	ENST00000364648
RN5S8	ENST00000364657
RN5S2	ENST00000364657
RN5S16	ENST00000364657
RNY4P7	ENST00000364659
RN5S8	ENST00000364662
RN5S17	ENST00000364662
RN5S10	ENST00000364662
RN5S1	ENST00000364662
SNORA1	ENST00000364671
RNU4-1	ENST00000364673
SNORA16B	ENST00000364674
RNU4-2	ENST00000364675
RNY4P19	ENST00000364677
LOC100132111	ENST00000364678
RNY4P19	ENST00000364679
RNY4P7	ENST00000364685
SNORD114-8	ENST00000364687
SNORD114-24	ENST00000364687
SNORD114-20	ENST00000364687
SNORD113-8	ENST00000364687
SNORD113-7	ENST00000364687
SNORD113-3	ENST00000364687
RNU1-7	ENST00000364688
RNU1-3	ENST00000364688
RNY1	ENST00000364693
rn7sk	ENST00000364694
RN5S4	ENST00000364697
SNORD114-16	ENST00000364699
SNORD113-9	ENST00000364699
RNU4-1B	ENST00000364700
RNY3	ENST00000364703
LOC100271832	ENST00000364703
RNY4P19	ENST00000364714
RN5S6	ENST00000364718
SCARNA9L	ENST00000364722
Scarna9	ENST00000364722
RN5S16	ENST00000364724
RN5S12	ENST00000364724
RN5S5	ENST00000364725
RN5S3	ENST00000364725
RN5S12	ENST00000364725
RNY4P7	ENST00000364726
RNY4P19	ENST00000364726
RNY4	ENST00000364726
SNORA39	ENST00000364729
LOC100132111	ENST00000364732
RNU4-2	ENST00000364737
RNU4-2	ENST00000364738
RN5S12	ENST00000364740
RN5S11	ENST00000364740
RNU6-2	ENST00000364743
RNU4-1	ENST00000364744
RNU1-5	ENST00000364746
RNU1-3	ENST00000364746
RNU1-2	ENST00000364746
RN5S9	ENST00000364748
RN5S16	ENST00000364748
RN5S5	ENST00000364750
RN5S2	ENST00000364750
RNY5P10	ENST00000364757
RNU4-2	ENST00000364760
RNU4-1	ENST00000364760
RNY5P10	ENST00000364763
SNORD115-9	ENST00000364764
SNORD115-7	ENST00000364764
SNORD115-41	ENST00000364764
SNORD115-4	ENST00000364764
SNORD115-32	ENST00000364764
SNORD115-20	ENST00000364764
SNORD115-2	ENST00000364764
RNY4P7	ENST00000364765
RNY1	ENST00000364765
LOC100271832	ENST00000364768
RNY4P7	ENST00000364774
RNY4P19	ENST00000364774
RNY3	ENST00000364774
RNY4P19	ENST00000364793
RNY4	ENST00000364793
RNY1	ENST00000364793
RNY3	ENST00000364798
RN5S5	ENST00000364801
RN5S16	ENST00000364801
RN5S15	ENST00000364801
RN5S14	ENST00000364801
RN5S10	ENST00000364801
SNORD114-25	ENST00000364802
SNORD114-22	ENST00000364802
SNORD114-16	ENST00000364802
SNORD113-7	ENST00000364802
SNORD113-3	ENST00000364802
SNORD32B	ENST00000364805
LOC100271832	ENST00000364808
SNORD115-5	ENST00000364809
SNORD115-44	ENST00000364809
SNORD115-41	ENST00000364809
SNORD115-33	ENST00000364809
SNORD115-31	ENST00000364809
SNORD115-30	ENST00000364809
SNORD115-29	ENST00000364809
SNORD115-19	ENST00000364809
SNORD115-15	ENST00000364809
SNORD115-10	ENST00000364809
PAR4	ENST00000364809
micA	ENST00000364810
RNY3	ENST00000364813
LOC100132111	ENST00000364813
RN5S7	ENST00000364816
SNORD114-21	ENST00000364819
SNORD114-19	ENST00000364819
RN5S9	ENST00000364825
RN5S17	ENST00000364825
RN5S13	ENST00000364825
RNU1-7	ENST00000364829
SNORD114-9	ENST00000364830
SNORD114-23	ENST00000364830
SNORD114-18	ENST00000364830
SNORD114-16	ENST00000364830
SNORD113-6	ENST00000364830
SNORA25	ENST00000364831
RN5S5	ENST00000364834
RN5S2	ENST00000364834
RN5S13	ENST00000364834
RN5S17	ENST00000364838
RN5S13	ENST00000364838
SNORD114-8	ENST00000364840
SNORD114-18	ENST00000364840
SNORD114-10	ENST00000364840
SNORD113-1	ENST00000364840
RN5S13	ENST00000364843
RN5S10	ENST00000364843
RN5S1	ENST00000364843
RNY4P7	ENST00000364854
RN5S8	ENST00000364857
RN5S2	ENST00000364857
RN5S17	ENST00000364857
RN5S14	ENST00000364857
RN5S12	ENST00000364857
RN5S11	ENST00000364857
RN5S11	ENST00000364858
RN5S9	ENST00000364866
RNU1-7	ENST00000364867
LOC100271832	ENST00000364871
RNU6-1	ENST00000364876
SNORD3D	ENST00000364880
SNORD45C	ENST00000364883
SNORD52	ENST00000364884
LOC100132111	ENST00000364886
RNU6-2	ENST00000364891
RN5S10	ENST00000364893
RN5S16	ENST00000364896
RN5S13	ENST00000364896
RNU6-1	ENST00000364910
RNY3	ENST00000364916
LOC100271832	ENST00000364916
RNU6-1	ENST00000364919
RN5S10	ENST00000364920
RN5S1	ENST00000364920
RNY1	ENST00000364930
RNU5A	ENST00000364931
RNU6-1	ENST00000364935
RNU4-1	ENST00000364936
SNORA27	ENST00000364937
RNU6-1	ENST00000364943
SNORA73B	ENST00000364946
RN5S5	ENST00000364952
RN5S2	ENST00000364952
RN5S15	ENST00000364952
RN5S12	ENST00000364952
SNORA33	ENST00000364957
RNY4P19	ENST00000364960
RNY1	ENST00000364960
SNORD115-7	ENST00000364961
SNORD115-5	ENST00000364961
SNORD115-44	ENST00000364961
SNORD115-14	ENST00000364961
RNY4P19	ENST00000364967
SNORD114-8	ENST00000364969
SNORD114-6	ENST00000364969
SNORD114-4	ENST00000364969
SNORD114-30	ENST00000364969
SNORD114-27	ENST00000364969
SNORD114-14	ENST00000364969
SNORD114-11	ENST00000364969
SNORD114-10	ENST00000364969
SNORD113-8	ENST00000364969
SNORD114-8	ENST00000364972
SNORD114-31	ENST00000364972
SNORD114-23	ENST00000364972
SNORD114-19	ENST00000364972
SNORD114-14	ENST00000364972
RN5S5	ENST00000364976
RNY4P7	ENST00000364980
LOC100271832	ENST00000364980
RN5S9	ENST00000364986
RN5S3	ENST00000364986
RN5S12	ENST00000364986
RN5S1	ENST00000364986
RNY1	ENST00000364990
RN5S3	ENST00000364991
RN5S14	ENST00000364991
SNORD50B	ENST00000364995
RNY4P19	ENST00000364998
LOC100271832	ENST00000364998
LOC100132111	ENST00000364998
RN5S15	ENST00000365006
RN5S14	ENST00000365006
RNY5P10	ENST00000365011
LOC100132111	ENST00000365011
RNY1	ENST00000365015
RN5S3	ENST00000365020
RN5S13	ENST00000365020
RNU6-2	ENST00000365024
RNU4-2	ENST00000365027
SNORD114-6	ENST00000365029
SNORD114-21	ENST00000365029
SNORD114-14	ENST00000365029
SNORD113-5	ENST00000365029
SNORD113-1	ENST00000365029
RNY4	ENST00000365030
SNORA71D	ENST00000365032
SNORA60	ENST00000365032
SNORD115-48	ENST00000365037
SNORD115-42	ENST00000365037
SNORD115-4	ENST00000365037
SNORD115-36	ENST00000365037
SNORD115-26	ENST00000365037
RNU1-4	ENST00000365040
RNU1-3	ENST00000365040
RNY4	ENST00000365043
RN5S14	ENST00000365050
RN5S16	ENST00000365053
RN5S10	ENST00000365053
RN5S2	ENST00000365055
RN5S4	ENST00000365061
RN5S14	ENST00000365061
RNY4P7	ENST00000365063
RNY4P19	ENST00000365063
SNORD115-16	ENST00000365067
SNORD115-10	ENST00000365067
HBII-52-45	ENST00000365067
HBII-52-24	ENST00000365067
RNY1	ENST00000365068
RN5S7	ENST00000365069
RN5S16	ENST00000365069
RN5S12	ENST00000365069
RN5S10	ENST00000365069
RN5S5	ENST00000365072
RN5S4	ENST00000365072
RN5S2	ENST00000365072
SNORD115-38	ENST00000365073
SNORD115-33	ENST00000365073
SNORD115-3	ENST00000365073
SNORD115-11	ENST00000365073
PAR4	ENST00000365073
SNORA70C	ENST00000365075
SNORD114-5	ENST00000365080
SNORD113-7	ENST00000365080
SNORD113-1	ENST00000365080
RNY3	ENST00000365085
RNY4P19	ENST00000365095
RN5-8S1	ENST00000365096
RN5S9	ENST00000365098
SNORD115-8	ENST00000365099
SNORD115-6	ENST00000365099
SNORD115-39	ENST00000365099
SNORD115-38	ENST00000365099
SNORD115-29	ENST00000365099
SNORD115-26	ENST00000365099
SNORD115-25	ENST00000365099
SNORD115-23	ENST00000365099
SNORD115-19	ENST00000365099
RNU1-1	ENST00000365106
LOC100271832	ENST00000365114
RNY4P19	ENST00000365117
RNY3	ENST00000365117
RNY4	ENST00000365118
RNY1	ENST00000365118
RNY4	ENST00000365119
RN5S8	ENST00000365121
RN5S17	ENST00000365121
RN5S13	ENST00000365121
RN5S12	ENST00000365121
SNORD115-8	ENST00000365122
SNORD115-5	ENST00000365122
SNORD115-38	ENST00000365122
SNORD115-31	ENST00000365122
HBII-52-27	ENST00000365122
RN5S6	ENST00000365129
RN5S5	ENST00000365129
RN5S11	ENST00000365129
RNY5P10	ENST00000365131
LOC100271832	ENST00000365138
RNY5P10	ENST00000365142
RNY4P19	ENST00000365142
LOC100271832	ENST00000365144
RNY4	ENST00000365149
RNY4P7	ENST00000365151
RNU6-1	ENST00000365155
RNY3	ENST00000365157
RNU6-1	ENST00000365164
RNY1	ENST00000365165
LOC100271832	ENST00000365165
LOC100132111	ENST00000365165
Snord49b	ENST00000365172
Snord49a	ENST00000365172
RN5S15	ENST00000365174
RNY4P19	ENST00000365176
RN5S8	ENST00000365177
RN5S7	ENST00000365177
RN5S16	ENST00000365177
RN5S12	ENST00000365177
SNORD114-6	ENST00000365178
SNORD114-21	ENST00000365178
SNORD114-17	ENST00000365178
SNORD113-5	ENST00000365178
SNORD113-1	ENST00000365178
RN5S11	ENST00000365184
RN5S2	ENST00000365186
rn7sk	ENST00000365188
RN5S6	ENST00000365193
RNU1-8	ENST00000365194
RNU1-4	ENST00000365194
RNU1-2	ENST00000365194
RNU1-1	ENST00000365194
RNY4P19	ENST00000365201
RNY5P10	ENST00000365208
RN5S13	ENST00000365222
RNU6-2	ENST00000365225
RNU4-1B	ENST00000365233
RNU4-1	ENST00000365233
RNY4	ENST00000365235
RNY3	ENST00000365235
RN5S7	ENST00000365240
RN5S17	ENST00000365240
RN5S14	ENST00000365240
RNU6-2	ENST00000365242
RNU6-1	ENST00000365249
RNY4P19	ENST00000365254
RNU1-4	ENST00000365255
RNU1-2	ENST00000365255
RNY4P19	ENST00000365259
LOC100271832	ENST00000365267
LOC100132111	ENST00000365267
RNY4	ENST00000365270
RNY1	ENST00000365271
SNORD114-27	ENST00000365272
SNORD114-24	ENST00000365272
RNY4P19	ENST00000365274
RNY4	ENST00000365276
RN5S6	ENST00000365277
RN5S2	ENST00000365277
RN5S13	ENST00000365277
RNY5P10	ENST00000365281
LOC100132111	ENST00000365281
RNU4-2	ENST00000365287
RNU5B-1	ENST00000365290
RN5S6	ENST00000365294
RNU1-4	ENST00000365297
RNY3	ENST00000365299
RN5S17	ENST00000365305
RN5S12	ENST00000365305
RN5S10	ENST00000365305
SNORD115-8	ENST00000365306
SNORD115-5	ENST00000365306
SNORD115-44	ENST00000365306
SNORD115-32	ENST00000365306
SNORD115-30	ENST00000365306
SNORD115-25	ENST00000365306
SNORD115-21	ENST00000365306
SNORD115-19	ENST00000365306
SNORD115-13	ENST00000365306
HBII-52-45	ENST00000365306
RNY4P7	ENST00000365308
LOC100271832	ENST00000365308
RNY5P10	ENST00000365312
RNY4P19	ENST00000365312
LOC100271832	ENST00000365312
RN5S8	ENST00000365317
RN5S3	ENST00000365317
RN5S2	ENST00000365317
RN5S13	ENST00000365317
SNORD115-9	ENST00000365318
SNORD115-29	ENST00000365318
SNORD115-22	ENST00000365318
SNORD115-21	ENST00000365318
SNORD115-19	ENST00000365318
SNORD115-15	ENST00000365318
SNORD115-12	ENST00000365318
SNORD115-11	ENST00000365318
HBII-52-27	ENST00000365318
SNORD114-7	ENST00000365321
SNORD114-4	ENST00000365321
SNORD114-31	ENST00000365321
SNORD114-12	ENST00000365321
SNORD113-6	ENST00000365321
SNORD113-4	ENST00000365321
SNORD113-2	ENST00000365321
RNY4P7	ENST00000365330
LOC100132111	ENST00000365330
RNY5P10	ENST00000365341
RNY4P7	ENST00000365341
RNY1	ENST00000365341
RNU1-2	ENST00000365345
RNY4	ENST00000365350
RNY5P10	ENST00000365352
LOC100271832	ENST00000365352
RNY5P10	ENST00000365354
SNORD3C	ENST00000365363
SNORD3A	ENST00000365363
RNU6-2	ENST00000365372
RN5S7	ENST00000365378
RNU5A	ENST00000365379
RNU6-2	ENST00000365380
SNORD14B	ENST00000365382
RN5S5	ENST00000365387
SNORD115-32	ENST00000365391
SNORD115-30	ENST00000365391
SNORD115-17	ENST00000365391
HBII-52-45	ENST00000365391
HBII-52-27	ENST00000365391
RN5S16	ENST00000365393
RN5S10	ENST00000365393
RN5S4	ENST00000365394
RN5S13	ENST00000365394
SNORD3D	ENST00000365398
SNORD114-9	ENST00000365400
SNORD114-31	ENST00000365400
SNORD114-30	ENST00000365400
SNORD114-3	ENST00000365400
SNORD114-22	ENST00000365400
SNORD114-18	ENST00000365400
SNORD114-14	ENST00000365400
SNORD113-9	ENST00000365400
SNORD113-1	ENST00000365400
RNY3	ENST00000365403
LOC100271832	ENST00000365403
RNY4	ENST00000365409
RN5S1	ENST00000365411
RNU6-1	ENST00000365415
RN5S17	ENST00000365420
SNORD114-8	ENST00000365423
SNORD114-4	ENST00000365423
SNORD114-25	ENST00000365423
SNORD114-24	ENST00000365423
SNORD114-16	ENST00000365423
SNORD114-11	ENST00000365423
SNORD113-6	ENST00000365423
RNU6-2	ENST00000365430
RNY1	ENST00000365436
RNU6-1	ENST00000365438
RNY4P7	ENST00000365439
RNY4	ENST00000365439
LOC100271832	ENST00000365440
LOC100132111	ENST00000365440
RN5S9	ENST00000365452
RN5S6	ENST00000365452
RN5S5	ENST00000365452
RN5S2	ENST00000365452
RN5S13	ENST00000365452
RN5S1	ENST00000365452
RNU6-2	ENST00000365453
RN5S17	ENST00000365454
RNU6-2	ENST00000365459
RN5S8	ENST00000365461
RN5S7	ENST00000365461
RN5S14	ENST00000365464
RNU6-1	ENST00000365466
RNU1-3	ENST00000365477
RNU6-1	ENST00000365480
rn7sk	ENST00000365481
RNY4	ENST00000365484
RN5S6	ENST00000365486
RNU6-2	ENST00000365488
SNORD3B-1	ENST00000365494
SNORD115-6	ENST00000365503
SNORD115-34	ENST00000365503
SNORD115-25	ENST00000365503
HBII-52-27	ENST00000365503
RNU1-3	ENST00000365510
RNY4	ENST00000365512
RN5S16	ENST00000365513
RNY5P10	ENST00000365515
RN5S3	ENST00000365516
RN5S17	ENST00000365516
RN5S14	ENST00000365516
RNY4P7	ENST00000365518
RNY4	ENST00000365537
RNY3	ENST00000365537
RNU1-2	ENST00000365538
RNY4	ENST00000365540
RNY1	ENST00000365540
RN5S15	ENST00000365541
RNY5P10	ENST00000365542
RNY5P10	ENST00000365544
RNY4P19	ENST00000365544
RNY5P10	ENST00000365547
RNY4P7	ENST00000365547
RNY4	ENST00000365547
RN5S6	ENST00000365552
RN5S17	ENST00000365552
RN5S10	ENST00000365552
RN5S7	ENST00000365560
RNU6-1	ENST00000365561
RNU6-2	ENST00000365563
RNU6-1	ENST00000365563
LOC100132111	ENST00000365568
LOC100132111	ENST00000365571
RNY5P10	ENST00000365589
RNY3	ENST00000365589
RNY5P10	ENST00000365591
RNY4P7	ENST00000365591
RNY1	ENST00000365591
LOC100271832	ENST00000365591
RNU4-1	ENST00000365598
LOC100132111	ENST00000365599
RN5S16	ENST00000365602
RN5S10	ENST00000365602
RN5S8	ENST00000365604
RN5S17	ENST00000365604
RNY3	ENST00000365606
RNU6-1	ENST00000365627
SNORD116-8	ENST00000365628
SNORD116-7	ENST00000365628
SNORD116-23	ENST00000365628
SNORD116-20	ENST00000365628
SNORD116-17	ENST00000365628
SNORD115-41	ENST00000365629
SNORD115-37	ENST00000365629
SNORD115-30	ENST00000365629
SNORD115-2	ENST00000365629
SNORD115-17	ENST00000365629
SNORD115-15	ENST00000365629
SNORD115-14	ENST00000365629
SNORD115-13	ENST00000365629
SNORD115-12	ENST00000365629
HBII-52-24	ENST00000365629
RN5S8	ENST00000365632
RN5S10	ENST00000365632
RN5S1	ENST00000365632
RNY5P10	ENST00000365638
RN5S9	ENST00000365640
RN5S4	ENST00000365640
RN5S15	ENST00000365640
LOC100132111	ENST00000365644
RN5S9	ENST00000365651
RN5S6	ENST00000365651
RN5S16	ENST00000365651
RN5S15	ENST00000365651
RN5S12	ENST00000365651
RNY4P19	ENST00000365652
RNY1	ENST00000365652
RNY1	ENST00000365653
RN5S7	ENST00000365656
RN5S16	ENST00000365656
RN5S14	ENST00000365656
RNU6-1	ENST00000365658
RNY4	ENST00000365663
LOC100271832	ENST00000365663
RNU6-1	ENST00000365664
RNY3	ENST00000365672
RNY1	ENST00000365672
MIR146B	ENST00000365699
MIR488	ENST00000365739
ECT2	ENST00000366254
SHC1	ENST00000366442
OR2T4	ENST00000366475
C1orf150	ENST00000366488
ZNF670	ENST00000366503
Cnst	ENST00000366513
Tfb2m	ENST00000366514
Efcab2	ENST00000366521
Efcab2	ENST00000366522
Hnrnpu	ENST00000366525
NCRNA00201	ENST00000366527
ZNF238	ENST00000366538
kmo	ENST00000366558
rgs7	ENST00000366563
rgs7	ENST00000366564
GNG4	ENST00000366597
TBCE	ENST00000366601
KCNK1	ENST00000366620
TAF5L	ENST00000366674
ACTA1	ENST00000366684
obscn	ENST00000366706
GUK1	ENST00000366720
GUK1	ENST00000366723
GUK1	ENST00000366726
Mrpl55	ENST00000366742
cabc1	ENST00000366776
cabc1	ENST00000366777
LOC728914	ENST00000366814
LOC644914	ENST00000366815
LOC401286	ENST00000366825
tcp10	ENST00000366827
Gpr31	ENST00000366834
Enah	ENST00000366841
Enah	ENST00000366844
MOSC1	ENST00000366909
MOSC1	ENST00000366910
AGPAT4	ENST00000366911
MOSC2	ENST00000366913
MARK1	ENST00000366917
TGFB2	ENST00000366930
esrrg	ENST00000366938
slc22a2	ENST00000366952
SLC22A1	ENST00000366963
Vash2	ENST00000366969
NSL1	ENST00000366976
atf3	ENST00000366983
atf3	ENST00000366984
atf3	ENST00000366987
C1orf97	ENST00000367003
c1orf107	ENST00000367020
TRAF3IP3	ENST00000367026
MRPL18	ENST00000367034
Acat2	ENST00000367048
CR1	ENST00000367051
CR1	ENST00000367053
TAGAP	ENST00000367066
C6orf99	ENST00000367073
EZR	ENST00000367075
Pfkfb2	ENST00000367080
TULP4	ENST00000367097
SERAC1	ENST00000367104
dyrk3	ENST00000367109
LGTN	ENST00000367114
FAM72D	ENST00000367129
LOC645100	ENST00000367144
Klhdc8a	ENST00000367156
Nfasc	ENST00000367172
MDM4	ENST00000367181
MDM4	ENST00000367182
CTSD	ENST00000367196
MAGI1	ENST00000367205
CNKSR3	ENST00000367205
Zc3h11a	ENST00000367212
Adora1	ENST00000367236
SYNE1	ENST00000367248
SYNE1	ENST00000367253
Rabif	ENST00000367262
LOC100133760	ENST00000367264
PPP1R12B	ENST00000367270
LGR6	ENST00000367277
PTPN7	ENST00000367279
elf3	ENST00000367283
c6orf211	ENST00000367294
NAV1	ENST00000367296
Phlda3	ENST00000367309
Tmem9	ENST00000367327
CACNA1S	ENST00000367338
ddx59	ENST00000367346
ZNF281	ENST00000367353
NEK7	ENST00000367385
Lhx9	ENST00000367391
ASPM	ENST00000367406
ASPM	ENST00000367409
Cfhr1	ENST00000367421
KCNT2	ENST00000367431
Trove2	ENST00000367443
UCHL5	ENST00000367449
RGS1	ENST00000367459
SASH1	ENST00000367469
PRG4	ENST00000367483
C1orf26	ENST00000367500
C1orf26	ENST00000367501
SHPRH	ENST00000367503
SHPRH	ENST00000367505
utrn	ENST00000367523
NPL	ENST00000367555
KIAA1614	ENST00000367587
AIG1	ENST00000367596
hivep2	ENST00000367603
GPR126	ENST00000367608
NPHS2	ENST00000367616
vta1	ENST00000367630
Gje1	ENST00000367648
Cited2	ENST00000367651
PAPPA2	ENST00000367661
mRpS14	ENST00000367677
GPR52	ENST00000367685
KIAA1244	ENST00000367706
TNFSF4	ENST00000367718
DNM3	ENST00000367732
IFNGR1	ENST00000367735
SELE	ENST00000367779
SELE	ENST00000367780
SELE	ENST00000367781
SELP	ENST00000367794
Ahi1	ENST00000367801
BLZF1	ENST00000367808
Tbx19	ENST00000367821
SFT2D2	ENST00000367829
Adcy10	ENST00000367851
Rcsd1	ENST00000367854
Mgst3	ENST00000367886
Mgst3	ENST00000367888
Mgst3	ENST00000367889
C1orf110	ENST00000367910
UAP1	ENST00000367925
Atf6	ENST00000367942
FCRLA	ENST00000367957
FCGR2C	ENST00000367961
FCGR3B	ENST00000367964
FCGR2C	ENST00000367966
sdhC	ENST00000367975
TOMM40L	ENST00000367988
PPOX	ENST00000367999
dedD	ENST00000368005
ARHGAP30	ENST00000368017
ARHGAP30	ENST00000368018
SLAMF7	ENST00000368042
CD84	ENST00000368047
MED23	ENST00000368053
SLAMF6	ENST00000368055
NCSTN	ENST00000368065
DCAF8	ENST00000368073
DCAF8	ENST00000368074
ATP1A4	ENST00000368080
crp	ENST00000368111
EPB41L2	ENST00000368127
AIM2	ENST00000368130
OR6K6	ENST00000368144
OR6K3	ENST00000368146
arhgap18	ENST00000368149
OR10R2	ENST00000368152
CD1E	ENST00000368155
CD1E	ENST00000368167
Cd5l	ENST00000368174
FCRL2	ENST00000368178
PTPRK	ENST00000368205
PTPRK	ENST00000368213
C1orf66	ENST00000368218
PTPRK	ENST00000368226
APOA1BP	ENST00000368235
C1orf61	ENST00000368243
RHBG	ENST00000368247
pmf1	ENST00000368279
UBQLN4	ENST00000368309
ssr2	ENST00000368312
RNF146	ENST00000368314
kiaa0907	ENST00000368319
kiaa0907	ENST00000368320
Rit1	ENST00000368323
Syt11	ENST00000368324
GON4L	ENST00000368327
Trmt11	ENST00000368332
GON4L	ENST00000368340
Rusc1	ENST00000368347
TRIM46	ENST00000368383
MUC1	ENST00000368396
EFNA1	ENST00000368407
Nkain2	ENST00000368417
Dcst1	ENST00000368419
Dcst1	ENST00000368420
DCST2	ENST00000368423
SHC1	ENST00000368443
SHC1	ENST00000368445
Pkib	ENST00000368446
PYGO2	ENST00000368457
TDRD10	ENST00000368482
il6r	ENST00000368485
Sprn	ENST00000368529
Adam8	ENST00000368566
RPS27P7	ENST00000368567
RPS27P23	ENST00000368567
rps27	ENST00000368567
LOC100131294	ENST00000368575
C10orf92	ENST00000368585
C10orf93	ENST00000368586
Stk32c	ENST00000368625
CRTC2	ENST00000368630
BNIP3	ENST00000368636
MKI67	ENST00000368651
FANK1	ENST00000368692
FANK1	ENST00000368695
S100A1	ENST00000368696
S100a16	ENST00000368705
S100a4	ENST00000368714
TRAF3IP2	ENST00000368731
UROS	ENST00000368774
LCE2B	ENST00000368780
LCE2D	ENST00000368784
Flg	ENST00000368799
REV3L	ENST00000368802
THEM5	ENST00000368818
C10orf122	ENST00000368821
Tdrkh	ENST00000368824
mRpL9	ENST00000368830
Mettl10	ENST00000368836
SNX27	ENST00000368838
RPF2	ENST00000368864
SELENBP1	ENST00000368868
PSTK	ENST00000368887
CUZD1	ENST00000368904
Sema6c	ENST00000368913
Sema6c	ENST00000368914
DDO	ENST00000368923
DMBT1	ENST00000368955
DMBT1	ENST00000368956
C6orf182	ENST00000368970
snx3	ENST00000368982
TACC2	ENST00000368997
TACC2	ENST00000368999
NSMCE4A	ENST00000369023
pdss2	ENST00000369031
C1orf138	ENST00000369035
BEND3	ENST00000369042
TARS2	ENST00000369052
TARS2	ENST00000369053
Rprd2	ENST00000369067
INPP5F	ENST00000369080
MRPS21	ENST00000369084
Tial1	ENST00000369092
Rgs10	ENST00000369103
sfxn4	ENST00000369131
OTUD7B	ENST00000369135
bola1	ENST00000369150
HIST2H2AA4	ENST00000369159
HIST1H3E	ENST00000369163
